Year,Adult Mortality,Alcohol,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness 5-9 years,Income composition of resources,Schooling,Country_,Status_,Life expectancy 
2014,179.0,0.09,142,8.0,2.85,78.0,0.3,3491.595887,1.2,0.682,12.9,65,1,68.9
2012,284.0,0.01,13,81.0,4.55,74.0,1.0,271.318741,1.3,0.501,9.9,109,1,62.2
2004,158.0,0.01,247,88.0,2.62,99.0,0.1,46.7579167,2.7,0.491,8.1,11,1,67.3
2008,67.0,6.75,0,94.0,8.4,94.0,0.1,9688.5961,0.7,0.936,17.6,105,0,86.0
2002,192.0,5.93,19,97.0,3.7,96.0,0.7,296.54617,9.5,0.657,11.5,138,1,71.4
2008,224.0,14.67,1,98.0,5.95,97.0,0.1,6376.183153,2.3,0.755,15.1,13,1,70.0
2013,328.0,2.41,42,74.0,4.99,79.0,4.8,185.793359,6.2,0.565,12.5,152,1,63.0
2004,21.0,0.32,37,69.0,5.61,74.0,0.1,1391.816923,5.2,0.603,9.8,66,1,67.2
2010,374.0,8.9,817,54.0,3.47,54.0,4.8,2327.3267,11.2,0.492,9.5,104,1,52.0
2009,137.0,3.87,8,91.0,5.58,94.0,0.1,4255.56571,1.2,0.702,13.1,42,1,75.1
2007,12.0,8.65,1,88.0,8.17,98.0,0.1,2492.12878,2.9,0.722,12.5,52,1,74.4
2000,172.0,6.78,5,86.0,8.1,86.0,0.1,1545.626423,2.4,0.625,11.6,110,1,79.0
2010,183.0,2.73,23,99.0,5.34,99.0,0.2,1377.8214,3.1,0.657,11.9,150,1,68.3
2007,295.0,0.02,113,63.0,6.73,63.0,0.1,369.835796,19.1,0.415,8.4,0,1,57.5
2004,165.0,9.82,4,97.0,5.43,97.0,0.1,3552.92452,3.9,0.733,12.9,116,0,71.7
2014,12.0,1.39,3,98.0,7.0,98.0,0.1,4271.68172,6.4,0.722,14.7,143,1,75.1
2001,54.0,1.52,25,4.0,3.95,4.0,13.9,243.1586486,1.4,0.314,5.3,29,1,45.6
2000,183.0,7.26,127,99.0,7.3,98.0,0.1,3739.11936,3.4,0.677,14.1,20,1,75.0
2004,65.0,13.03,0,98.0,6.42,98.0,0.1,23932.49128,1.0,0.823,13.4,38,0,78.6
2011,124.0,5.3,39,97.0,6.4,97.0,0.1,9834.472689,1.6,0.745,12.6,92,1,76.1
2005,498.0,8.69,84,75.0,7.77,79.0,29.5,5414.634326,13.9,0.609,12.9,129,1,53.8
2009,72.0,8.4,2,89.0,11.17,91.0,0.1,4773.45436,0.4,0.898,15.9,28,1,81.0
2002,387.0,5.98,39,74.0,5.15,81.0,5.2,122.4335893,8.7,0.268,4.4,24,1,51.5
2001,141.0,2.86,1,97.0,5.94,94.0,0.1,694.435119,2.1,0.644,11.1,6,1,72.6
2005,92.0,11.28,0,93.0,9.77,93.0,0.1,48799.8237,1.0,0.897,16.6,39,0,78.1
2007,124.0,1.26,31,96.0,6.4,96.0,0.1,979.49246,4.8,0.697,12.3,144,1,73.2
2004,187.0,8.43,0,84.0,5.24,83.0,0.1,5836.17763,4.0,0.0,14.8,56,1,73.0
2000,78.0,10.17,2,9.0,8.8,9.0,0.1,2169.921,0.7,0.897,20.4,7,0,79.5
2008,147.0,0.01,186,96.0,2.85,96.0,0.1,615.7775411,19.9,0.52,8.6,11,1,69.1
2003,613.0,1.08,70,85.0,6.35,84.0,24.2,26.152517,7.5,0.362,10.3,85,1,44.6
2011,113.0,6.56,0,95.0,6.92,95.0,0.1,7318.742449,2.0,0.792,15.1,94,1,75.4
2012,232.0,0.01,90,71.0,6.11,71.0,0.7,391.515524,1.1,0.331,5.1,103,1,63.0
2007,356.0,5.12,4,81.0,6.99,86.0,15.2,422.51968,12.0,0.578,11.3,98,1,60.0
2006,66.0,10.31,2,92.0,8.49,92.0,0.1,36118.28381,0.6,0.915,20.3,7,0,81.2
2012,129.0,0.53,4,97.0,4.1,97.0,0.1,1779.49641,7.7,0.776,12.9,86,1,74.5
2010,527.0,5.21,44,89.0,5.37,89.0,15.7,713.63562,7.0,0.436,10.0,153,1,52.4
2004,81.0,9.56,1,95.0,8.3,95.0,0.1,21955.149,0.8,0.83,15.3,55,1,79.2
2013,97.0,0.45,21,99.0,5.94,99.0,0.1,3111.762887,6.2,0.634,12.1,95,1,73.9
2009,198.0,2.14,15,92.0,6.79,92.0,0.4,2635.753474,1.3,0.596,10.4,57,1,76.0
2010,187.0,0.08,167,82.0,2.74,81.0,0.3,3113.48635,1.5,0.656,12.1,65,1,68.1
2013,237.0,1.86,211,7.0,5.19,72.0,0.9,52.1535887,1.4,0.427,8.4,47,1,63.7
2004,148.0,3.65,9,9.0,6.22,88.0,0.3,278.557892,1.3,0.682,12.7,42,1,74.4
2007,82.0,11.75,0,96.0,6.8,99.0,0.1,1618.4928,0.9,0.877,13.5,83,0,79.7
2004,13.0,7.63,12,91.0,6.84,98.0,0.1,4251.574348,1.0,0.775,16.3,5,1,74.7
2010,25.0,5.8,2,96.0,4.7,96.0,0.1,265.353659,2.3,0.693,14.3,93,1,66.3
2001,14.0,1.67,1,94.0,2.48,94.0,0.1,3161.52935,5.1,0.798,12.0,148,1,74.5
2001,345.0,0.95,22,51.0,4.29,5.0,5.3,26.6394652,9.1,0.426,9.4,140,1,54.6
2013,218.0,7.56,1,98.0,5.1,98.0,0.3,3944.178173,5.3,0.633,10.3,60,1,65.9
2002,343.0,0.83,10,92.0,4.2,9.0,1.9,21.7687981,9.9,0.0,4.4,45,1,58.5
2010,156.0,10.78,1,99.0,7.85,99.0,0.1,1325.53379,1.8,0.817,15.3,63,0,74.5
2006,22.0,0.28,83,82.0,1.78,82.0,0.6,296.97284,13.5,0.474,8.0,97,1,64.2
2002,16.0,2.91,511,86.0,4.79,86.0,0.1,1148.5857,4.9,0.6,9.7,32,1,72.7
2000,77.0,9.78,3,97.0,7.91,87.0,0.1,251.2426,0.5,0.823,14.8,69,0,79.4
2008,168.0,0.06,3,79.0,0.74,79.0,0.1,643.71911,11.7,0.566,11.7,139,1,66.2
2008,127.0,5.36,43,96.0,6.6,96.0,0.1,9689.52887,1.6,0.735,12.3,92,1,75.6
2004,124.0,4.9,52,98.0,6.11,98.0,0.1,7199.59665,1.8,0.714,12.1,92,1,75.4
2005,147.0,8.15,0,98.0,4.41,99.0,0.1,11371.93895,3.4,0.0,0.0,4,1,74.6
2013,133.0,8.58,0,98.0,5.33,99.0,0.2,12224.86416,3.3,0.781,13.9,4,1,76.1
2007,113.0,0.57,1,97.0,2.43,99.0,0.1,1585.13226,6.8,0.753,11.5,106,1,74.9
2004,94.0,13.18,4,99.0,1.53,98.0,0.1,33874.74255,0.6,0.857,15.5,50,1,82.0
2001,219.0,0.6,0,88.0,9.0,85.0,0.1,734.9492461,0.2,0.0,10.4,75,1,64.3
2003,69.0,6.9,0,99.0,9.31,99.0,0.1,36961.42537,1.3,0.882,15.9,134,0,82.0
2000,175.0,1.45,6,99.0,3.77,99.0,0.1,875.412178,15.5,0.677,12.4,131,1,71.5
2011,34.0,1.44,21,85.0,5.21,85.0,2.6,562.3393592,7.0,0.457,11.5,140,1,58.3
2002,138.0,1.47,46,78.0,5.36,78.0,0.1,366.57,5.0,0.658,11.5,144,1,71.2
2000,84.0,8.48,1,89.0,7.6,89.0,0.1,1242.95373,0.8,0.794,13.9,55,1,78.2
2014,113.0,0.41,4,98.0,7.45,98.0,0.1,466.94775,3.9,0.737,13.1,72,1,74.0
2006,243.0,12.6,1,97.0,6.34,99.0,0.1,3848.215966,2.4,0.723,14.6,13,1,68.9
2008,88.0,11.9,3,98.0,1.57,98.0,0.1,45413.6571,0.6,0.877,16.1,50,1,89.0
2008,338.0,8.34,4,55.0,2.31,42.0,6.3,22742.38159,9.3,0.592,9.1,44,1,55.4
2010,145.0,0.19,39,74.0,3.82,74.0,0.1,452.74948,5.1,0.646,10.4,66,1,76.0
2006,16.0,4.15,1,89.0,7.82,89.0,0.1,5245.187372,1.9,0.727,12.6,35,1,78.0
2003,135.0,1.42,43,69.0,5.34,68.0,0.1,4718.51291,5.0,0.668,11.9,144,1,71.6
2008,296.0,0.3,96,85.0,1.87,85.0,0.6,643.951373,13.4,0.493,8.2,97,1,59.2
2013,23.0,14.66,1,98.0,6.7,98.0,0.1,7978.825443,2.0,0.796,15.7,13,1,71.7
2002,189.0,0.05,222,8.0,2.27,7.0,0.1,899.5556857,11.1,0.608,10.6,65,1,66.7
2007,259.0,0.16,2,75.0,4.93,75.0,0.1,72.759313,7.2,0.459,10.0,34,1,66.0
2008,158.0,7.21,68,99.0,8.24,99.0,0.1,8787.61375,3.0,0.704,13.3,20,1,73.4
2011,139.0,9.1,2,89.0,5.53,89.0,0.1,92.277825,3.1,0.798,15.7,116,0,74.3
2002,391.0,2.82,157,37.0,3.63,41.0,2.3,711.181716,1.5,0.401,5.5,3,1,46.5
2005,65.0,11.41,0,98.0,6.37,98.0,0.1,25324.48666,1.0,0.826,13.5,38,0,78.7
2004,247.0,12.05,1,99.0,6.59,99.0,0.1,2378.33927,2.5,0.703,14.1,13,1,68.2
2005,223.0,4.22,84,9.0,3.91,89.0,0.1,1194.697155,9.7,0.642,11.6,112,1,67.0
2014,181.0,2.52,2,93.0,6.77,94.0,0.2,3988.771871,1.6,0.676,13.2,43,1,73.3
2006,219.0,4.08,82,88.0,3.95,88.0,0.1,1391.772325,9.7,0.646,11.5,112,1,67.3
2004,83.0,2.16,0,98.0,3.37,98.0,0.1,15846.47641,5.9,0.803,13.9,10,1,75.2
2011,116.0,0.43,4,98.0,8.39,98.0,0.1,387.324145,3.9,0.737,13.1,72,1,73.6
2003,189.0,0.05,215,8.0,2.53,71.0,0.1,164.59447,11.0,0.613,10.8,65,1,66.9
2010,188.0,1.1,0,94.0,7.47,9.0,0.1,1272.44825,1.2,0.492,9.3,128,1,68.3
2000,279.0,1.34,40,78.0,4.34,78.0,2.0,374.1923942,9.6,0.389,6.4,16,1,55.4
2002,33.0,6.1,26,54.0,5.47,48.0,4.8,393.16327,4.7,0.444,8.0,61,1,59.3
2005,48.0,3.83,47,67.0,12.25,65.0,2.2,287.6891942,9.3,0.341,7.8,125,1,43.3
2014,178.0,6.32,0,85.0,5.69,85.0,0.4,9564.46383,3.5,0.722,12.7,132,1,71.4
2009,587.0,4.64,45,69.0,6.26,73.0,18.1,65.824121,7.4,0.419,9.9,153,1,50.0
2010,127.0,5.21,40,95.0,6.39,95.0,0.1,8959.581416,1.6,0.739,12.5,92,1,75.6
2011,88.0,5.37,1,99.0,5.71,99.0,0.1,4437.17868,1.5,0.738,13.3,1,1,76.6
2009,28.0,0.54,0,84.0,12.24,86.0,0.1,1297.285141,0.1,0.576,11.9,75,1,65.2
2010,123.0,4.75,0,99.0,4.83,99.0,0.4,3312.825985,7.4,0.627,12.7,25,1,72.5
2003,1.0,4.04,1,88.0,8.45,88.0,0.1,4167.71417,2.1,0.715,12.1,35,1,78.0
2002,14.0,11.34,0,98.0,9.33,98.0,0.1,33228.69291,1.0,0.875,16.6,39,0,77.0
2003,325.0,1.02,2,68.0,6.22,68.0,4.2,819.974118,5.9,0.378,3.5,40,1,58.0
2008,126.0,8.41,11,94.0,6.66,93.0,0.1,8953.359275,0.9,0.792,16.3,5,1,75.4
2006,388.0,1.76,104,77.0,4.24,8.0,10.3,697.66385,8.4,0.483,9.7,74,1,55.3
2007,67.0,7.29,4,97.0,8.25,98.0,0.1,35275.22843,1.5,0.877,15.0,71,0,82.6
2010,424.0,3.84,40,84.0,1.32,86.0,1.6,45.128418,8.2,0.384,8.7,125,1,48.1
2001,29.0,0.14,1,88.0,5.91,88.0,0.1,87.9387673,19.6,0.0,7.6,17,1,61.7
2009,118.0,0.59,4,98.0,9.54,98.0,0.1,3492.1396,3.8,0.742,13.6,72,1,73.3
2013,62.0,6.21,0,94.0,9.39,94.0,0.1,1291.435,0.7,0.942,17.5,105,0,81.5
2010,256.0,11.05,17,98.0,6.83,97.0,0.2,1674.98771,2.5,0.773,13.7,117,1,68.4
2012,125.0,10.81,2,95.0,6.62,99.0,0.1,13145.1484,2.1,0.834,15.3,113,0,76.8
2009,9.0,12.03,0,96.0,1.42,96.0,0.1,2363.97161,0.5,0.809,16.0,114,0,79.3
2007,72.0,11.05,2,96.0,8.36,96.0,0.1,3279.414,0.5,0.849,16.0,130,0,89.0
2007,74.0,8.3,2,9.0,9.83,94.0,0.1,44544.5268,0.4,0.894,15.8,28,1,85.0
2007,487.0,2.08,51,77.0,4.37,8.0,13.6,114.587985,6.8,0.492,11.1,152,1,52.6
2001,211.0,2.53,20,78.0,6.76,77.0,0.3,1568.376276,1.5,0.546,8.5,57,1,68.4
2003,485.0,6.93,82,7.0,8.26,69.0,28.9,3775.68275,16.1,0.613,12.9,129,1,54.0
2008,394.0,0.45,80,3.0,2.92,19.0,4.7,929.772391,9.7,0.338,6.0,30,1,49.6
2013,119.0,8.28,10,99.0,4.99,94.0,0.1,12976.63642,0.9,0.823,17.3,5,1,76.0
2014,11.0,0.01,24,95.0,7.21,95.0,0.1,547.8517,5.8,0.741,14.4,2,1,75.4
2010,76.0,11.2,3,94.0,11.25,95.0,0.1,41785.55691,1.1,0.907,16.7,53,0,81.0
2002,337.0,0.21,56,56.0,3.76,53.0,3.0,322.811171,9.9,0.329,5.5,58,1,52.9
2008,162.0,5.92,13,99.0,3.92,99.0,0.3,4378.68746,8.6,0.7,12.9,138,1,73.5
2011,122.0,5.07,0,9.0,4.6,9.0,0.3,367.429453,7.2,0.632,13.1,25,1,72.6
2005,127.0,0.55,4,95.0,8.88,95.0,0.1,223.83787,3.8,0.73,13.8,72,1,72.4
2007,282.0,12.19,19,98.0,5.38,98.0,0.3,911.25385,2.6,0.761,13.8,117,1,67.3
2002,95.0,12.91,0,99.0,8.27,99.0,0.1,5293.64115,0.9,0.86,13.5,83,0,78.3
2011,152.0,7.58,57,98.0,8.9,99.0,0.1,13167.47289,2.8,0.724,14.0,20,1,74.1
2002,262.0,12.23,1,99.0,6.47,99.0,0.1,1479.383142,2.7,0.687,13.6,13,1,67.2
2004,34.0,1.46,62,81.0,3.96,8.0,3.2,423.1936389,8.3,0.491,7.7,54,1,58.3
2010,64.0,9.33,1,97.0,1.48,97.0,0.1,5338.25483,0.9,0.906,17.0,100,0,88.0
2004,578.0,2.46,59,84.0,7.33,83.0,17.6,53.2772217,7.1,0.456,10.5,152,1,47.9
2007,192.0,2.4,16,85.0,6.86,85.0,0.4,2489.955836,1.3,0.578,10.1,57,1,75.0
2001,179.0,0.91,0,67.0,3.37,7.0,0.1,1362.61731,1.6,0.0,10.1,151,1,69.1
2004,189.0,6.17,16,98.0,3.51,98.0,0.5,2659.83918,9.2,0.674,11.9,138,1,71.6
2005,327.0,11.57,20,98.0,5.21,98.0,0.3,5323.473877,2.7,0.748,13.7,117,1,65.0
2005,265.0,0.72,56,8.0,5.3,85.0,0.6,274.819723,8.0,0.473,8.9,84,1,69.0
2007,157.0,1.01,0,67.0,3.67,67.0,0.1,2393.367265,1.5,0.579,10.7,151,1,73.0
2013,88.0,5.79,216,99.0,5.39,99.0,0.1,777.77594,3.2,0.713,12.7,32,1,75.6
2006,65.0,10.24,0,94.0,1.39,94.0,0.1,57348.92788,0.4,0.904,15.2,135,0,81.5
2012,6.0,2.78,1,94.0,7.73,94.0,0.1,32569.59683,1.1,0.889,15.9,68,1,81.8
2006,68.0,2.23,1,94.0,7.38,95.0,0.1,2195.1769,1.1,0.87,15.7,68,1,84.0
2005,89.0,12.27,1,97.0,9.24,97.0,0.1,36967.28292,0.8,0.861,15.7,14,0,78.9
2013,189.0,1.93,13,84.0,6.3,85.0,0.4,3452.828934,1.2,0.611,10.7,57,1,71.4
2000,115.0,3.92,1,98.0,6.7,95.0,0.1,2741.11542,3.4,0.679,12.1,37,1,76.9
2010,37.0,6.15,82,83.0,5.28,84.0,5.5,1182.869227,6.2,0.48,9.7,27,1,55.3
2013,19.0,0.01,0,94.0,6.43,94.0,0.1,7186.429787,1.9,0.799,15.1,94,1,75.8
2013,253.0,5.68,19,67.0,8.1,68.0,0.5,81.265673,3.9,0.483,9.1,61,1,62.7
2001,69.0,10.16,0,97.0,5.78,97.0,0.1,1562.92433,1.0,0.8,12.4,38,0,78.2
2012,183.0,0.08,154,84.0,2.9,83.0,0.3,3687.953996,1.4,0.669,12.6,65,1,68.5
2000,95.0,12.91,4,94.0,1.1,9.0,0.1,23718.7467,1.2,0.855,16.2,53,0,78.0
2012,151.0,3.11,4,97.0,9.78,97.0,0.4,2178.38325,2.1,0.614,11.6,62,1,74.1
2008,132.0,0.47,4,97.0,3.47,97.0,0.1,8513.629541,8.3,0.747,12.5,86,1,73.8
2003,3.0,6.64,25,56.0,5.32,53.0,4.6,329.782946,4.6,0.447,8.1,61,1,59.7
2004,512.0,1.5,26,45.0,4.1,51.0,12.0,313.21598,9.9,0.315,5.7,29,1,45.7
2000,136.0,1.41,12,86.0,4.92,84.0,0.1,1177.629268,6.6,0.588,10.0,136,1,72.6
2006,133.0,0.58,25,97.0,5.23,97.0,0.1,2191.478567,6.3,0.575,10.0,95,1,71.0
2005,37.0,3.1,8,73.0,5.72,68.0,5.4,424.9534585,9.0,0.0,8.0,59,1,53.9
2004,69.0,6.53,0,89.0,8.46,89.0,0.1,1519.5497,0.7,0.797,14.2,89,0,78.7
2002,371.0,4.27,19,51.0,5.43,39.0,3.1,177.285187,8.9,0.376,10.4,80,1,56.0
2001,145.0,0.23,24,89.0,3.84,89.0,0.1,1732.857979,6.3,0.644,10.9,2,1,71.4
2002,149.0,1.62,5,98.0,3.89,98.0,0.1,873.1472436,15.6,0.699,12.6,131,1,73.7
2004,69.0,5.78,4,88.0,5.88,86.0,50.3,2529.633557,7.9,0.492,9.4,133,1,45.6
2007,436.0,6.21,3,96.0,4.71,96.0,13.4,5714.47937,9.0,0.63,12.1,19,1,56.9
2007,51.0,5.55,4,88.0,7.5,87.0,40.7,347.48798,6.7,0.508,10.5,133,1,50.0
2013,75.0,9.5,0,94.0,11.25,94.0,0.1,61191.19263,0.9,0.924,18.7,39,0,81.0
2006,1.0,0.08,10,96.0,3.55,96.0,0.1,15334.66994,7.3,0.767,12.5,121,1,73.2
2002,169.0,3.09,7,95.0,7.28,95.0,1.5,1132.8721,2.6,0.561,10.1,62,1,71.6
2007,94.0,12.57,0,96.0,9.62,97.0,0.1,2278.5845,0.5,0.797,15.4,114,0,78.7
2005,25.0,4.47,0,84.0,6.78,83.0,0.6,3595.8855,3.4,0.672,11.3,132,1,68.9
2000,82.0,7.6,2,88.0,8.67,89.0,0.1,24124.16917,0.5,0.864,15.9,28,1,79.1
2001,82.0,5.49,0,91.0,8.65,91.0,0.1,38549.58934,0.7,0.917,17.5,105,0,78.8
2013,183.0,0.01,13,66.0,5.93,83.0,0.2,128.419568,11.1,0.546,10.8,26,1,67.8
2013,163.0,0.01,11,97.0,6.75,96.0,0.2,14.214412,3.7,0.617,11.2,137,1,69.3
2007,93.0,4.2,1,89.0,8.37,89.0,0.1,612.623418,1.9,0.734,12.8,35,1,78.9
2001,14.0,4.25,1,97.0,6.0,97.0,0.1,1326.97339,2.1,0.662,10.6,1,1,73.6
2011,14.0,0.54,22,98.0,5.99,99.0,0.1,339.91616,6.2,0.612,11.2,95,1,73.3
2014,21.0,0.01,52,88.0,2.28,88.0,0.3,1262.893782,13.1,0.547,9.1,97,1,66.4
2004,165.0,3.67,1,97.0,4.8,98.0,2.3,3719.97351,1.8,0.689,11.1,70,1,73.3
2003,22.0,11.29,0,91.0,6.46,94.0,0.1,555.535669,3.2,0.78,15.8,82,0,71.6
2004,7.0,6.6,0,99.0,9.9,99.0,0.1,42442.2245,1.3,0.888,16.0,134,0,83.0
2014,66.0,10.75,0,96.0,7.78,96.0,0.1,5553.32623,0.2,0.91,18.6,67,0,81.2
2011,249.0,1.32,231,7.0,6.55,65.0,1.4,354.8463544,1.6,0.411,8.2,47,1,62.6
2002,157.0,10.2,1,94.0,7.41,93.0,0.1,287.534843,2.4,0.723,12.9,22,0,71.8
2000,127.0,12.73,0,94.0,7.66,93.0,0.1,4919.62869,2.1,0.739,12.2,36,0,74.7
2009,55.0,10.22,0,96.0,9.12,96.0,0.1,4461.89251,0.9,0.894,18.4,64,0,81.6
2003,189.0,6.14,18,98.0,3.58,98.0,0.6,2358.93629,9.3,0.666,11.8,138,1,71.7
2011,83.0,11.8,3,99.0,11.33,99.0,0.1,4381.288,0.6,0.882,16.1,50,1,81.7
2009,283.0,4.55,77,91.0,7.41,92.0,1.1,552.7455521,8.8,0.356,5.9,23,1,56.9
2000,137.0,7.68,14,88.0,9.21,83.0,0.1,7669.273916,1.1,0.764,15.0,5,1,74.1
2007,19.0,0.06,188,77.0,3.1,73.0,0.2,1855.93915,1.7,0.638,11.0,65,1,67.5
2013,78.0,9.53,0,95.0,9.29,95.0,0.1,2315.31799,1.4,0.878,16.8,127,0,85.0
2012,339.0,0.01,109,82.0,7.58,78.0,4.6,647.74741,5.8,0.477,10.0,146,1,60.0
2004,92.0,12.42,0,99.0,8.2,99.0,0.1,75716.3518,0.9,0.867,13.5,83,0,78.7
2010,228.0,0.28,1,92.0,5.17,91.0,0.5,2178.921383,17.3,0.0,11.4,17,1,67.9
2011,85.0,0.02,1,99.0,2.62,99.0,0.1,48268.5912,3.2,0.792,13.4,76,1,74.2
2009,311.0,0.63,9,92.0,3.3,92.0,1.0,43.7544499,8.9,0.402,5.2,45,1,61.4
2005,92.0,1.79,1,94.0,2.32,94.0,0.1,39439.8197,4.9,0.818,12.6,148,1,75.3
2004,17.0,4.38,1,98.0,6.14,88.0,0.1,339.716256,3.3,0.705,13.2,37,1,77.3
2004,485.0,9.89,164,58.0,8.9,62.0,8.9,288.236949,6.6,0.427,11.6,146,1,51.3
2001,438.0,5.72,54,76.0,4.38,77.0,8.1,21.569654,7.5,0.332,7.1,118,1,48.6
2008,58.0,8.49,0,98.0,8.8,98.0,0.1,55575.29196,0.9,0.892,18.2,64,0,81.4
2009,21.0,4.13,0,99.0,6.65,98.0,0.9,199.57146,6.2,0.533,10.1,120,1,65.8
2001,124.0,5.43,2,95.0,7.72,99.0,0.1,446.372833,2.3,0.721,12.4,108,1,75.5
2001,679.0,5.48,4,97.0,5.73,97.0,37.2,3128.97793,11.8,0.56,11.8,19,1,46.7
2007,291.0,9.02,3,78.0,2.86,81.0,10.0,8352.81711,6.8,0.645,12.4,51,1,61.6
2004,125.0,0.54,4,95.0,9.5,95.0,0.1,261.456882,3.8,0.723,13.5,72,1,72.5
2011,6.0,6.98,2,96.0,9.27,96.0,0.1,38334.68477,0.5,0.872,16.4,69,0,82.0
2011,92.0,0.09,9,98.0,3.57,98.0,0.1,2377.74739,7.4,0.804,13.9,121,1,73.9
2001,179.0,7.13,118,99.0,7.19,98.0,0.1,3146.95177,3.4,0.685,14.3,20,1,71.0
2001,179.0,9.78,5,99.0,4.36,99.0,0.1,1839.72945,4.2,0.708,11.7,116,0,78.0
2013,366.0,0.64,78,46.0,3.42,39.0,3.1,986.13177,8.7,0.387,7.3,30,1,52.2
2000,12.0,11.69,0,97.0,8.7,97.0,0.1,3743.55917,1.0,0.86,16.5,39,0,76.9
2006,152.0,0.01,215,95.0,2.8,94.0,0.1,494.51466,2.3,0.506,8.4,11,1,68.2
2001,92.0,12.46,4,96.0,1.15,93.0,0.1,23687.31689,1.1,0.86,16.2,53,0,78.3
2012,174.0,0.01,0,98.0,4.8,98.0,0.1,12845.17363,6.1,0.755,13.5,124,1,72.7
2009,123.0,0.5,23,94.0,5.36,95.0,0.1,3868.83123,5.9,0.705,13.1,2,1,74.4
2013,68.0,11.82,0,95.0,11.14,95.0,0.1,554.71532,2.0,0.887,15.7,8,0,81.1
2006,96.0,10.15,0,97.0,8.38,97.0,0.1,4112.67651,0.8,0.869,17.2,49,1,79.2
2012,186.0,0.01,14,84.0,6.24,86.0,0.3,95.244132,11.2,0.54,10.7,26,1,67.4
2002,15.0,0.05,11,95.0,4.28,95.0,0.1,8655.311531,7.3,0.745,12.1,121,1,72.9
2009,297.0,0.18,46,6.0,3.85,57.0,2.3,436.6895539,8.4,0.376,8.1,58,1,57.3
2007,129.0,0.44,23,95.0,3.82,95.0,0.1,3935.183343,5.9,0.69,12.3,2,1,73.8
2004,45.0,0.34,78,31.0,5.72,21.0,5.2,454.6765879,1.6,0.301,5.6,30,1,48.5
2000,221.0,2.05,0,91.0,3.87,9.0,0.1,276.1338,4.0,0.681,13.1,48,1,67.7
2013,254.0,0.01,55,91.0,4.63,9.0,0.9,1814.492297,6.4,0.57,11.5,54,1,61.9
2000,16.0,0.37,0,99.0,3.5,99.0,0.1,188.44826,6.3,0.818,13.4,21,1,74.4
2002,123.0,7.59,0,86.0,5.76,87.0,0.8,11675.39395,4.1,0.749,14.0,12,1,73.5
