Year,Adult Mortality,Alcohol,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness 5-9 years,Income composition of resources,Schooling,Country_,Status_,Life expectancy 
2004,131.0,0.93,10,84.0,4.48,81.0,0.1,148.852738,6.3,0.61,10.6,136,1,73.2
2008,81.0,1.76,0,98.0,9.3,98.0,0.1,5828.621374,14.3,0.641,11.8,87,1,75.9
2007,295.0,6.78,30,98.0,8.49,97.0,5.0,44.853339,6.7,0.424,10.1,118,1,59.6
2011,286.0,0.62,8,96.0,3.6,96.0,0.7,582.775532,8.7,0.405,5.0,45,1,62.9
2004,99.0,4.25,0,87.0,9.4,84.0,0.1,265.642661,3.0,0.0,12.3,18,1,75.5
2009,163.0,3.36,3,99.0,6.82,98.0,0.2,1464.497754,1.8,0.613,11.3,102,1,73.2
2007,181.0,0.35,12,85.0,5.35,86.0,0.3,52.35956,3.8,0.586,10.9,137,1,66.1
2005,285.0,1.13,39,73.0,4.73,7.0,2.1,61.799977,8.6,0.43,8.5,16,1,56.5
2000,78.0,11.26,0,95.0,9.91,93.0,0.1,37813.23426,0.5,0.879,15.1,135,0,79.7
2014,162.0,0.01,11,94.0,6.88,97.0,0.2,114.45919,3.7,0.622,11.3,137,1,69.6
2001,171.0,2.74,8,99.0,6.88,96.0,1.6,113.4546,2.7,0.557,9.9,62,1,71.3
2008,82.0,1.37,0,98.0,1.87,97.0,0.1,82967.37228,4.5,0.825,11.7,115,1,76.8
2002,145.0,0.36,23,86.0,3.73,86.0,0.1,1774.33673,6.2,0.653,11.1,2,1,71.6
2001,611.0,2.61,70,86.0,6.56,85.0,18.6,378.2736238,7.4,0.424,9.8,152,1,44.6
2008,35.0,4.33,35,89.0,7.86,92.0,2.9,196.2472628,7.9,0.319,7.9,24,1,55.3
2002,271.0,0.9,63,61.0,5.29,62.0,0.7,262.2859481,8.4,0.462,8.3,84,1,59.3
2007,161.0,3.24,0,96.0,4.24,97.0,0.1,6574.654338,7.4,0.72,13.5,91,1,72.9
2007,26.0,3.79,2,99.0,5.6,95.0,0.1,1634.81431,2.4,0.661,13.0,93,1,65.9
2014,121.0,3.82,7,84.0,9.16,83.0,0.1,6432.216537,1.1,0.737,14.0,42,1,76.0
2008,19.0,0.57,1,97.0,2.1,99.0,0.1,2275.3536,6.8,0.765,11.9,106,1,75.2
2001,284.0,5.75,10,95.0,3.47,95.0,0.1,149.926751,2.7,0.685,12.3,73,1,64.4
2006,141.0,4.01,1,87.0,4.58,87.0,0.1,2158.299,2.1,0.692,11.2,6,1,72.9
2013,178.0,15.04,0,93.0,6.59,93.0,0.1,15712.82376,2.7,0.834,16.4,82,0,73.0
2005,675.0,2.67,6,88.0,6.3,89.0,34.8,862.9463118,9.2,0.437,10.7,79,1,44.5
2013,67.0,8.2,2,91.0,1.67,91.0,0.1,52413.72116,0.5,0.909,15.9,28,1,81.8
2005,162.0,7.68,4,97.0,5.47,97.0,0.1,4676.315183,3.8,0.745,13.4,116,0,71.9
2003,71.0,6.7,0,94.0,8.6,94.0,0.1,13689.98999,0.7,0.79,13.8,89,0,78.5
2010,132.0,4.23,1,96.0,4.56,94.0,0.1,3218.381655,2.1,0.72,12.3,6,1,73.5
2008,127.0,6.74,2,86.0,6.75,86.0,0.1,6973.9284,2.0,0.75,12.8,108,1,76.5
2004,66.0,8.98,3,97.0,8.49,94.0,0.1,31174.56118,0.5,0.846,15.6,69,0,89.0
2003,256.0,5.92,6,99.0,6.93,97.0,0.9,148.522488,2.9,0.691,14.3,147,1,67.6
2013,364.0,0.01,73,88.0,4.29,89.0,4.0,1365.34419,5.8,0.501,10.4,27,1,56.4
2006,71.0,9.79,1,96.0,9.36,96.0,0.1,44453.97119,1.0,0.893,16.5,100,0,79.8
2005,382.0,5.04,148,39.0,4.1,38.0,2.6,1443.991929,9.9,0.426,6.8,3,1,47.4
2000,45.0,9.23,943,31.0,2.84,29.0,4.9,379.1193264,14.4,0.0,7.6,104,1,47.1
2008,8.0,11.36,3,95.0,1.39,96.0,0.1,45699.19832,1.1,0.903,16.6,53,0,79.9
2002,276.0,5.99,9,95.0,3.61,95.0,0.1,1658.31146,2.6,0.7,12.7,73,1,64.7
2008,282.0,6.39,28,97.0,7.66,97.0,3.7,5.6687264,6.6,0.438,10.4,118,1,68.0
2011,289.0,8.9,3,75.0,3.12,75.0,6.0,1716.2258,6.3,0.664,12.5,51,1,62.8
2014,362.0,0.01,759,49.0,3.67,49.0,3.9,3221.678128,9.9,0.521,10.0,104,1,53.6
2012,429.0,6.09,39,95.0,6.69,95.0,8.8,955.648466,6.4,0.464,9.8,153,1,56.6
2005,163.0,6.38,4,96.0,6.7,96.0,0.2,157.145691,2.2,0.646,12.3,110,1,72.1
2008,317.0,6.28,4,83.0,7.15,83.0,11.7,429.6561,11.4,0.589,11.3,98,1,61.7
2013,12.0,0.46,1,99.0,2.76,98.0,0.1,21268.7564,6.8,0.796,13.7,106,1,76.2
2000,23.0,0.03,11,58.0,5.26,51.0,1.1,477.476124,1.7,0.443,6.4,90,1,60.0
2000,218.0,7.13,0,96.0,6.0,96.0,0.1,3352.731296,2.8,0.716,13.7,77,0,71.0
2009,156.0,15.04,0,95.0,6.93,95.0,0.1,14726.31828,2.0,0.836,16.1,46,1,74.9
2000,247.0,12.98,1,99.0,6.13,99.0,0.1,1276.28834,2.8,0.675,13.1,13,1,68.0
2009,147.0,1.08,0,86.0,4.67,84.0,0.1,37.846563,0.1,0.703,14.5,141,1,72.5
2004,113.0,10.0,0,94.0,8.47,94.0,0.1,1726.9151,2.0,0.85,16.6,127,0,77.2
2009,182.0,4.94,0,99.0,2.64,99.0,0.1,976.9566,6.2,0.739,13.2,124,1,72.3
2014,96.0,3.45,1,91.0,9.31,91.0,0.1,1647.44179,1.7,0.768,13.9,35,1,79.5
2007,261.0,0.71,51,83.0,4.98,84.0,0.6,377.8482928,7.8,0.483,9.1,84,1,61.9
2008,162.0,8.92,0,99.0,5.76,99.0,0.1,7946.944346,3.9,0.0,15.4,56,1,72.1
2008,441.0,3.91,44,75.0,1.29,77.0,1.9,46.3759178,8.7,0.367,8.3,125,1,46.2
2011,153.0,3.1,5,97.0,8.57,97.0,0.4,212.584798,2.2,0.611,11.7,62,1,73.9
2002,217.0,0.49,0,96.0,9.1,77.0,0.1,826.58554,0.2,0.0,11.7,75,1,64.6
2003,93.0,0.03,1,99.0,3.23,99.0,0.1,2271.56961,3.0,0.788,14.1,76,1,73.4
2009,37.0,0.47,80,32.0,3.31,24.0,4.4,84.455939,9.5,0.343,6.3,30,1,57.0
2011,268.0,0.39,2,87.0,8.71,87.0,2.7,143.986898,5.5,0.451,5.9,40,1,61.8
2012,138.0,3.65,1,96.0,5.66,96.0,0.5,521.33363,1.7,0.725,12.8,70,1,75.3
2010,64.0,10.52,1,92.0,9.2,92.0,0.1,51874.848,0.6,0.927,19.5,7,0,81.9
2001,16.0,1.68,6,98.0,3.81,98.0,0.1,837.699787,15.6,0.686,12.5,131,1,72.7
2006,144.0,10.4,3,99.0,6.17,99.0,0.1,94.7726,2.4,0.803,15.0,113,0,75.2
2004,77.0,7.8,2,91.0,9.56,91.0,0.1,31979.87195,0.4,0.881,15.8,28,1,80.0
2009,155.0,5.39,3,81.0,9.14,85.0,0.1,2599.596259,2.0,0.663,12.1,110,1,73.0
2011,325.0,5.76,3,96.0,5.25,95.0,5.5,7645.21469,7.4,0.678,12.4,19,1,62.2
2008,87.0,10.47,1,99.0,9.6,99.0,0.1,48424.58927,0.8,0.874,15.8,14,0,79.5
2005,316.0,4.19,16,66.0,8.4,6.0,3.1,168.648254,8.3,0.372,10.1,80,1,55.3
2005,4.0,5.03,93,79.0,4.75,8.0,7.4,952.1872484,7.0,0.456,8.3,27,1,52.8
2002,261.0,0.48,4,38.0,3.89,54.0,0.1,48.61552,12.1,0.475,9.8,139,1,62.0
2002,19.0,1.17,5,96.0,5.32,96.0,0.1,2346.5937,6.4,0.662,13.3,143,1,73.5
2013,137.0,0.01,0,84.0,4.98,82.0,0.1,4266.557174,0.1,0.718,14.3,141,1,73.2
2011,275.0,4.51,71,9.0,5.17,91.0,0.9,666.842783,8.4,0.377,6.7,23,1,58.1
2008,193.0,1.09,0,94.0,5.97,89.0,0.1,125.79167,1.2,0.489,9.2,128,1,68.0
2009,91.0,7.67,2,94.0,7.39,94.0,0.1,1243.32824,0.9,0.816,15.3,31,1,79.3
2008,632.0,3.56,46,75.0,4.96,75.0,20.5,325.678573,7.8,0.421,9.7,153,1,48.2
2013,157.0,5.93,7,82.0,4.12,83.0,0.3,627.55544,3.2,0.709,13.2,41,1,73.4
2001,135.0,1.29,11,83.0,4.92,82.0,0.1,1258.421953,6.5,0.589,10.1,136,1,72.7
2013,399.0,6.39,36,95.0,6.88,95.0,6.8,111.227396,6.0,0.488,10.4,153,1,58.0
2004,336.0,6.28,4,48.0,2.4,38.0,4.4,685.34897,1.0,0.553,8.5,44,1,54.1
2002,9.0,12.5,0,82.0,1.27,83.0,0.1,26351.37568,1.9,0.847,16.1,8,0,78.7
2003,72.0,9.3,3,97.0,8.17,96.0,0.1,27387.2258,0.5,0.841,15.4,69,0,79.9
2014,128.0,0.01,0,58.0,7.22,63.0,0.1,4178.973369,0.1,0.701,12.9,119,1,73.8
2000,283.0,1.16,68,58.0,5.8,57.0,0.6,245.939659,8.6,0.0,8.0,84,1,57.9
2012,48.0,7.38,56,65.0,8.79,65.0,7.6,7548.163698,7.3,0.644,12.8,129,1,59.2
2000,274.0,1.51,36,62.0,5.87,59.0,2.1,3.685949,11.9,0.401,7.2,26,1,57.7
2000,127.0,7.43,0,86.0,5.16,93.0,0.9,11568.1111,4.2,0.741,14.0,12,1,73.3
2010,92.0,5.75,268,99.0,4.89,99.0,0.1,456.512487,3.6,0.691,12.5,32,1,75.0
2005,144.0,9.5,3,99.0,6.2,99.0,0.1,821.251569,2.5,0.797,14.8,113,0,75.0
2012,3.0,0.01,3,96.0,6.27,95.0,4.4,729.231453,7.0,0.687,12.5,19,1,63.4
2010,166.0,6.02,8,85.0,4.6,88.0,0.9,5451.6696,3.3,0.697,12.9,41,1,72.7
2001,126.0,13.15,0,94.0,7.16,94.0,0.1,5245.421419,2.0,0.749,12.3,36,0,74.9
2002,124.0,13.39,0,95.0,6.19,95.0,0.1,653.71637,2.0,0.759,12.6,36,0,74.8
2003,231.0,0.4,93,86.0,1.97,78.0,0.5,219.782326,13.6,0.445,7.7,97,1,63.2
2005,135.0,9.6,1,98.0,8.7,98.0,0.1,3528.1318,2.6,0.73,13.2,123,1,73.0
2012,123.0,5.29,38,99.0,6.21,99.0,0.1,982.532572,1.5,0.748,12.7,92,1,76.3
2006,145.0,8.93,0,99.0,4.34,99.0,0.1,12724.39377,3.4,0.773,14.7,4,1,74.8
2008,157.0,6.14,4,85.0,7.6,89.0,0.1,359.992184,2.1,0.654,11.9,110,1,72.7
2000,98.0,13.14,0,99.0,7.48,99.0,0.1,48735.99549,1.0,0.848,13.5,83,0,77.8
2006,39.0,1.02,2,72.0,7.5,72.0,3.7,965.6693779,5.7,0.405,4.3,40,1,59.1
2002,192.0,5.12,1,96.0,5.0,96.0,2.0,749.626612,7.0,0.721,11.9,142,1,69.2
2007,633.0,2.69,6,87.0,8.47,88.0,30.0,918.432717,8.3,0.44,10.6,79,1,46.2
2009,491.0,1.16,56,93.0,1.18,93.0,14.9,42.7379657,6.8,0.415,9.9,85,1,51.5
2014,17.0,0.01,0,99.0,3.37,99.0,0.1,1557.77892,6.0,0.766,13.2,124,1,73.0
2014,314.0,0.01,41,78.0,4.99,86.0,4.3,1738.8822,6.2,0.57,12.5,152,1,61.1
2014,65.0,8.1,2,91.0,1.45,91.0,0.1,544.43376,0.5,0.912,15.9,28,1,82.0
2009,259.0,1.16,39,8.0,4.46,79.0,1.6,793.45243,7.8,0.448,9.3,16,1,58.4
2004,157.0,10.96,1,94.0,7.9,95.0,0.1,3381.57837,2.3,0.738,13.3,22,0,72.2
2002,74.0,2.16,0,94.0,2.84,94.0,0.1,2216.83279,2.0,0.818,12.6,126,0,79.0
2009,166.0,2.83,0,99.0,4.97,99.0,0.1,7318.12641,7.3,0.734,13.8,91,1,72.8
2009,76.0,11.42,0,96.0,8.11,99.0,0.1,13198.6693,0.9,0.888,13.5,83,0,83.0
2002,17.0,12.0,1,96.0,9.15,98.0,0.1,12882.28897,0.6,0.788,15.9,114,0,77.2
2003,25.0,0.44,4,55.0,2.48,55.0,0.1,471.4565823,12.1,0.485,9.8,139,1,61.0
2009,6.0,10.15,0,96.0,11.0,95.0,0.1,69672.471,0.4,0.916,15.3,135,0,82.1
2014,51.0,9.61,0,96.0,11.66,96.0,0.1,85814.58857,0.3,0.936,15.9,135,0,83.2
2010,236.0,6.83,8,98.0,4.42,99.0,0.1,97.649972,2.5,0.763,14.5,73,1,67.8
2005,126.0,4.93,49,98.0,6.4,98.0,0.1,7986.798439,1.7,0.719,12.2,92,1,75.3
2010,365.0,7.8,121,81.0,3.39,77.0,2.5,3529.53482,9.0,0.488,9.0,3,1,49.6
2002,43.0,0.36,76,31.0,8.33,25.0,5.0,22.854821,11.0,0.303,5.1,30,1,48.1
2010,26.0,7.92,23,93.0,7.91,97.0,2.3,563.491487,6.3,0.454,10.0,118,1,62.8
2005,194.0,0.37,12,79.0,5.89,84.0,0.3,337.359236,3.9,0.572,10.6,137,1,65.5
2006,249.0,0.03,38,63.0,3.0,59.0,0.1,2351.812429,5.1,0.631,10.2,66,1,64.7
2008,273.0,9.46,6,91.0,6.63,9.0,0.4,3891.37823,2.6,0.73,14.9,147,1,67.7
2013,146.0,7.24,52,96.0,8.48,97.0,0.1,12216.9446,2.7,0.734,14.2,20,1,74.7
2014,19.0,0.01,0,99.0,4.49,99.0,0.1,546.3728,3.7,0.727,15.2,48,1,69.7
2005,66.0,6.5,0,98.0,9.6,98.0,0.1,4385.35315,1.3,0.89,16.0,134,0,85.0
2013,281.0,0.01,13,8.0,4.78,79.0,0.8,229.95364,1.3,0.506,10.0,109,1,62.4
2006,345.0,1.37,22,85.0,5.56,84.0,5.0,377.33629,8.0,0.436,10.2,140,1,55.7
2007,146.0,2.29,5,98.0,3.76,98.0,0.1,1644.816372,15.5,0.725,13.2,131,1,73.7
2009,196.0,5.13,0,85.0,6.14,87.0,0.6,7443.85178,3.4,0.696,12.1,132,1,70.0
2014,149.0,2.87,4,97.0,8.72,97.0,0.3,2242.711912,2.1,0.618,11.4,62,1,74.5
2006,134.0,0.42,4,95.0,3.65,95.0,0.1,6222.982955,8.6,0.732,12.7,86,1,73.6
2010,98.0,4.13,1,99.0,1.19,96.0,0.1,5676.14143,3.2,0.784,17.6,37,1,78.0
2012,82.0,9.24,0,99.0,9.3,99.0,0.1,47415.55987,0.8,0.884,17.0,49,1,84.0
2002,73.0,4.43,40,73.0,6.53,71.0,39.8,57.34834,1.3,0.427,10.0,153,1,44.8
2014,138.0,12.03,1,88.0,8.44,88.0,0.1,7853.335191,1.9,0.787,14.8,22,0,74.3
2002,256.0,4.89,7,99.0,6.25,99.0,0.9,879.475486,3.0,0.683,13.9,147,1,67.6
2013,97.0,12.39,0,96.0,7.83,96.0,0.1,13574.749,1.5,0.817,14.9,36,0,77.7
2011,186.0,0.99,0,99.0,5.8,99.0,0.1,1642.837974,1.2,0.497,9.4,128,1,68.5
2004,247.0,0.35,42,87.0,5.68,87.0,0.7,733.581811,11.5,0.408,6.2,122,1,59.7
2010,115.0,6.56,0,93.0,6.9,94.0,0.1,6682.281158,2.0,0.787,15.0,94,1,75.3
2003,151.0,3.69,10,97.0,6.46,87.0,0.3,244.46898,1.4,0.679,12.6,42,1,74.4
2007,144.0,8.64,0,98.0,4.27,99.0,0.1,14252.29452,3.3,0.781,14.5,4,1,75.0
2004,95.0,1.77,1,94.0,2.46,94.0,0.1,36161.1761,4.9,0.813,12.4,148,1,75.1
2012,223.0,0.01,1,97.0,3.7,97.0,0.6,2422.816,16.7,0.581,12.3,17,1,68.7
2013,46.0,1.16,87,78.0,5.9,78.0,5.1,65.985681,3.5,0.405,9.1,96,1,55.3
2000,543.0,3.1,7,82.0,6.92,83.0,29.8,474.8197876,11.6,0.445,9.6,79,1,49.3
2000,292.0,6.0,10,96.0,4.16,97.0,0.1,1229.958,2.7,0.676,12.1,73,1,63.9
2001,8.0,7.6,2,88.0,9.1,89.0,0.1,23691.59472,0.4,0.867,15.8,28,1,79.4
2009,277.0,3.75,13,84.0,14.39,81.0,2.1,33.667491,7.4,0.4,9.7,80,1,59.2
2000,188.0,0.06,237,72.0,1.98,75.0,0.1,78.92744,11.2,0.597,10.7,65,1,66.3
2009,62.0,1.73,0,97.0,4.27,97.0,0.1,38577.55822,2.1,0.887,14.4,126,0,81.7
2006,188.0,6.35,0,89.0,4.49,92.0,0.6,1495.96337,6.6,0.751,12.3,142,1,69.6
2000,121.0,5.58,2,99.0,7.76,98.0,0.2,46.29935,2.3,0.716,12.1,108,1,75.7
2004,253.0,1.38,24,86.0,6.43,85.0,1.7,48.615184,11.7,0.458,9.7,26,1,61.5
2002,81.0,5.89,0,93.0,9.62,93.0,0.1,4361.1538,0.7,0.916,17.1,105,0,78.9
2009,566.0,2.75,6,89.0,9.8,91.0,18.2,923.136931,7.4,0.453,10.8,79,1,49.4
2003,253.0,11.17,1,53.0,6.59,5.0,0.1,1819.525644,2.6,0.695,13.9,13,1,67.7
2001,126.0,4.86,62,97.0,5.35,97.0,0.1,731.378864,1.9,0.7,11.6,92,1,75.0
2011,67.0,6.53,0,94.0,9.14,94.0,0.1,1574.9861,0.7,0.939,17.6,105,0,81.1
2007,282.0,0.55,96,76.0,6.97,74.0,1.7,595.6368319,9.3,0.363,6.4,88,1,55.0
2007,129.0,8.16,12,92.0,6.49,91.0,0.1,7193.61764,0.9,0.788,16.3,5,1,74.8
2009,75.0,1.59,0,98.0,9.22,98.0,0.1,597.1659,14.2,0.651,11.8,87,1,76.3
2009,219.0,4.42,76,86.0,4.41,87.0,0.1,1825.341521,9.7,0.661,11.7,112,1,68.0
2006,177.0,13.16,1,99.0,8.1,99.0,0.1,11398.76584,2.0,0.802,15.2,63,0,73.4
2012,237.0,0.01,2,85.0,7.11,86.0,0.8,788.632653,6.7,0.484,10.8,34,1,62.5
2003,151.0,7.16,0,99.0,4.53,99.0,0.1,9739.82556,3.5,0.0,0.0,4,1,74.2
2009,157.0,7.33,64,99.0,8.65,99.0,0.1,8553.3847,2.9,0.714,13.8,20,1,73.6
2012,61.0,10.03,1,92.0,9.36,92.0,0.1,67677.63477,0.6,0.93,20.1,7,0,82.3
2006,2.0,0.99,0,99.0,6.66,99.0,0.1,948.6592511,1.3,0.47,8.4,128,1,67.6
2006,211.0,2.06,0,98.0,3.84,98.0,0.1,3749.939813,3.8,0.695,14.0,48,1,68.5
2009,96.0,4.07,1,8.0,9.69,86.0,0.1,689.396224,1.8,0.747,13.1,35,1,79.2
2001,187.0,6.72,0,96.0,4.45,96.0,0.1,7663.1378,6.6,0.714,12.2,124,1,72.0
2010,221.0,7.52,1,95.0,6.6,95.0,0.4,326.281212,5.3,0.618,10.2,60,1,65.9
2010,89.0,7.93,2,92.0,6.97,92.0,0.1,1286.17764,0.9,0.815,15.2,31,1,79.1
2013,355.0,8.1,105,67.0,4.26,77.0,2.3,484.616884,8.5,0.523,11.4,3,1,51.1
2010,142.0,1.24,0,84.0,4.59,82.0,0.1,3547.59975,0.1,0.707,14.4,141,1,72.8
2013,451.0,0.01,23,23.0,3.82,23.0,5.1,337.4849614,8.5,0.37,7.1,29,1,49.9
2004,13.0,2.1,1,74.0,8.91,75.0,0.1,5424.22356,4.6,0.0,14.2,78,1,73.7
2000,339.0,1.1,22,63.0,4.35,64.0,5.1,26.3932935,9.3,0.425,9.3,140,1,54.6
2001,121.0,2.76,2,83.0,7.82,87.0,0.1,733.974142,3.1,0.673,11.7,52,1,73.0
2003,225.0,6.54,0,94.0,11.12,94.0,1.6,649.342153,7.4,0.504,9.7,120,1,63.4
2012,189.0,6.66,0,98.0,5.45,98.0,0.1,4673.63848,3.4,0.702,12.5,15,1,69.4
2001,21.0,4.9,0,96.0,4.5,96.0,0.4,3419.275719,3.7,0.677,11.8,15,1,68.2
2002,327.0,0.61,14,54.0,7.69,61.0,1.4,511.665773,1.5,0.428,6.9,109,1,59.3
2009,118.0,6.67,1,95.0,8.78,95.0,0.1,9415.17386,1.5,0.774,15.5,149,1,76.6
2003,15.0,4.25,19,92.0,5.92,92.0,0.1,2246.257472,2.2,0.659,11.6,33,1,72.4
2012,138.0,9.58,2,92.0,5.48,91.0,0.1,8558.39766,3.0,0.797,15.3,116,0,74.4
2003,174.0,4.08,0,99.0,4.15,99.0,0.1,4623.347642,7.8,0.687,12.6,91,1,71.5
2014,88.0,0.09,9,98.0,4.68,98.0,0.1,24575.434,7.5,0.841,15.8,121,1,74.4
2005,78.0,9.31,0,89.0,8.25,89.0,0.1,2775.89515,0.3,0.886,18.9,101,0,79.9
2004,114.0,13.11,0,96.0,6.56,96.0,0.1,9365.742468,1.9,0.771,13.3,36,0,75.4
2012,146.0,8.07,0,98.0,6.36,97.0,0.1,7583.1872,3.8,0.744,15.8,56,1,73.1
2010,323.0,1.21,21,83.0,5.37,83.0,3.8,487.9238913,7.2,0.449,11.0,140,1,57.4
2004,82.0,13.32,0,89.0,7.34,89.0,0.1,47631.6377,0.2,0.88,17.1,67,0,78.3
2004,238.0,2.86,8,98.0,4.3,97.0,0.1,1453.917166,3.4,0.0,10.3,145,1,63.5
2002,17.0,1.98,1,77.0,1.5,77.0,0.1,5436.595223,4.7,0.0,15.2,78,1,73.2
2002,283.0,1.23,40,76.0,4.27,75.0,2.1,418.6985763,9.2,0.407,7.3,16,1,55.6
2009,78.0,9.08,0,99.0,9.76,99.0,0.1,2971.973,0.7,0.857,16.2,55,1,80.0
2005,77.0,11.92,2,96.0,8.12,96.0,0.1,2651.71745,0.5,0.837,15.8,130,0,81.0
2003,199.0,11.64,0,95.0,4.92,94.0,0.1,7174.237415,2.3,0.798,15.6,46,1,71.9
2009,288.0,0.82,14,79.0,4.36,73.0,1.1,1166.66337,1.3,0.477,9.2,109,1,61.6
2013,84.0,4.76,1,99.0,5.66,99.0,0.1,4414.72314,1.4,0.759,14.2,1,1,77.2
2000,536.0,7.19,4,87.0,5.26,84.0,46.4,1637.4567,9.6,0.516,9.4,133,1,48.4
2010,73.0,11.36,0,96.0,7.68,99.0,0.1,14965.361,0.9,0.884,13.7,83,0,86.0
2011,133.0,4.83,12,91.0,4.93,91.0,0.2,5771.565878,1.1,0.721,13.4,111,1,74.5
2011,98.0,3.41,1,82.0,9.73,85.0,0.1,9186.59639,1.7,0.752,13.4,35,1,79.0
2010,134.0,3.95,8,88.0,5.9,91.0,0.1,4657.32361,1.2,0.703,13.1,42,1,75.0
2007,8.0,9.67,0,99.0,9.41,99.0,0.1,28827.32636,0.7,0.855,16.4,55,1,79.4
